rbt_id,age,education_level,years_experience,company_tenure,hourly_wage,caseload_size,weekly_hours,travel_time_per_week,supervision_hours_last_month,bcba_feedback_score,rbt_support_rating,supervision_helpfulness_score,bcba_communication_score,bcba_goal_communication_score,supervision_frequency_last_3_months,burnout_score,work_life_balance,turnover_status
RBT_73,39,Bachelor's,7.2,2.1,19,6,33,3,5,4,5,4,1,3,3,2,5,0
RBT_74,47,High School,1.5,4.6,16,9,21,4,4,3,5,4,3,3,14,8,5,1
RBT_75,34,Master's,8.5,4.9,18,9,32,3,9,3,1,3,2,5,13,3,4,0
RBT_76,47,High School,6.9,6.1,26,11,22,6,8,3,1,1,4,5,8,6,2,1
RBT_77,26,Bachelor's,7.1,2.5,23,3,37,9,7,1,1,5,3,4,7,2,5,0
RBT_78,31,High School,3.9,5.4,23,7,23,0,1,5,5,2,5,3,5,7,4,0
RBT_79,48,Bachelor's,8.9,4.0,20,5,38,0,9,1,4,2,3,1,12,4,1,0
RBT_80,27,Bachelor's,7.4,6.2,25,9,35,1,9,2,1,3,2,3,9,6,1,0
RBT_81,34,Bachelor's,1.6,3.8,29,6,23,0,6,2,3,3,2,4,12,2,2,0
RBT_82,22,Bachelor's,4.4,3.7,23,6,38,9,7,3,5,3,2,3,7,3,1,1
RBT_83,33,High School,8.9,4.1,18,3,34,9,3,5,4,3,1,2,10,3,4,0
RBT_84,36,High School,0.9,5.3,29,3,20,2,5,3,3,3,1,3,2,4,2,0
RBT_85,23,High School,9.6,6.8,25,4,35,5,7,3,3,3,4,1,7,1,4,0
RBT_86,37,High School,7.0,0.7,15,4,34,9,1,1,5,5,4,4,7,6,2,0
RBT_87,27,Bachelor's,6.5,0.6,16,3,35,5,1,3,2,5,3,4,4,6,2,0
RBT_88,23,High School,3.1,6.6,27,10,39,0,5,3,4,2,2,1,12,4,4,1
RBT_89,21,Master's,2.9,3.8,15,8,20,5,9,5,5,2,4,4,12,8,2,0
RBT_90,49,Bachelor's,9.4,4.4,22,8,36,4,7,5,2,3,2,3,8,5,4,0
RBT_91,25,Bachelor's,3.3,3.5,23,11,24,6,1,5,5,2,3,4,4,4,1,0
RBT_92,41,High School,7.9,0.8,24,7,24,5,5,3,5,3,1,3,7,7,1,1
RBT_93,29,Bachelor's,4.2,5.4,26,6,26,6,8,5,3,5,4,4,4,8,5,0
RBT_94,23,Master's,1.8,5.3,20,8,32,1,8,5,5,4,5,3,13,2,3,0
RBT_95,41,High School,0.6,2.3,16,10,31,0,2,4,2,5,5,3,8,1,3,0
RBT_96,48,Bachelor's,5.7,2.3,20,3,23,6,7,4,3,1,5,1,14,6,1,0
RBT_97,37,Bachelor's,9.8,5.9,23,9,23,8,5,2,2,5,5,1,14,2,5,1
RBT_98,45,High School,4.0,0.7,26,10,25,1,9,1,2,1,5,5,3,8,3,0
RBT_99,31,Bachelor's,3.9,6.2,17,11,34,6,3,1,3,2,5,1,2,5,4,1
RBT_100,21,High School,3.8,1.9,23,10,38,2,1,5,2,5,5,3,10,2,4,0
RBT_101,29,High School,5.4,4.2,16,9,25,5,4,2,1,4,4,3,6,5,2,0
RBT_102,49,High School,4.7,6.6,25,5,31,2,7,2,5,5,5,4,7,2,3,0
RBT_103,23,High School,8.9,4.8,19,4,33,9,1,4,3,5,5,4,7,6,4,1
RBT_104,33,High School,5.3,3.0,25,5,37,4,2,2,3,5,3,5,6,8,3,0
RBT_105,35,High School,5.3,4.9,16,6,31,1,5,3,1,3,4,3,11,2,2,0
RBT_106,34,Master's,1.8,2.5,21,6,34,7,9,5,1,5,3,5,8,6,1,1
RBT_107,27,Bachelor's,9.8,2.1,25,8,38,7,1,3,1,5,2,3,12,6,5,0
RBT_108,33,Master's,2.9,7.0,24,9,27,6,4,1,1,4,5,1,6,1,2,0
RBT_109,42,High School,1.2,5.3,29,6,28,5,3,4,4,1,1,4,6,9,2,1
RBT_110,47,High School,6.8,4.6,23,8,24,0,5,3,3,1,5,5,3,8,2,0
RBT_111,44,Bachelor's,6.2,2.6,21,11,24,7,5,5,2,4,5,2,12,4,5,1
RBT_112,49,High School,4.4,0.5,26,8,25,0,2,3,3,2,3,3,2,7,4,0
RBT_113,27,High School,4.5,0.4,19,5,22,7,5,3,3,5,2,1,7,4,3,0
RBT_114,40,Bachelor's,8.0,4.0,29,3,24,1,9,2,3,2,3,2,6,8,1,0
RBT_115,35,High School,2.4,5.4,18,7,20,7,5,4,1,4,4,1,1,2,1,0
RBT_116,32,Bachelor's,8.3,3.9,26,5,30,9,2,1,1,2,2,1,2,2,5,0
RBT_117,37,Bachelor's,6.7,5.9,18,10,39,3,7,5,4,1,2,3,2,3,1,0
RBT_118,34,High School,4.5,0.4,29,3,20,6,6,5,3,3,2,1,1,4,5,1
RBT_119,40,High School,4.9,2.7,24,4,26,4,7,1,5,2,3,5,3,6,5,1
RBT_120,43,Bachelor's,2.9,1.8,22,5,34,7,8,5,4,3,5,2,5,5,3,0
RBT_121,45,High School,7.6,3.2,24,5,36,5,5,2,1,2,5,1,4,7,3,0
RBT_122,44,High School,5.4,0.7,27,10,27,4,2,3,3,4,5,1,12,6,5,0
RBT_123,47,Master's,3.5,6.7,24,7,21,0,7,2,1,3,5,4,2,4,3,0
RBT_124,47,High School,6.2,1.7,28,10,32,2,7,2,2,2,5,4,8,9,4,1
RBT_125,47,Bachelor's,10.0,6.5,24,8,31,9,8,2,1,4,4,5,9,7,2,0
RBT_126,32,Master's,4.6,3.1,24,4,24,8,7,1,1,1,1,4,8,1,1,0
RBT_127,28,High School,9.2,6.9,24,6,32,8,7,4,4,5,2,1,7,8,1,0
RBT_128,48,High School,3.8,4.0,15,11,25,4,9,1,2,4,1,1,10,4,1,0
RBT_129,34,High School,1.0,6.5,19,6,34,2,8,1,5,4,4,2,2,7,1,0
RBT_130,32,High School,2.4,0.2,28,7,30,5,2,2,5,1,5,4,6,2,4,0
RBT_131,20,High School,4.5,5.3,16,7,23,4,2,4,5,3,4,3,11,3,4,0
RBT_132,44,Bachelor's,2.6,6.3,27,10,20,0,7,1,3,2,4,4,4,1,2,0
RBT_133,26,High School,0.5,1.2,25,8,34,1,3,4,5,3,1,1,5,2,5,0
RBT_134,28,Bachelor's,9.2,0.9,23,9,31,4,1,2,3,4,2,2,9,5,3,1
RBT_135,43,Master's,8.5,3.1,21,8,28,8,9,1,1,2,3,4,13,2,2,0
RBT_136,20,Bachelor's,7.6,6.5,24,7,30,3,3,4,5,5,3,2,9,6,1,0
RBT_137,31,Bachelor's,2.1,3.9,22,7,24,8,1,5,4,5,2,4,4,6,3,0
RBT_138,27,High School,1.6,3.8,20,5,26,2,6,1,2,2,5,5,8,6,2,0
RBT_139,43,Bachelor's,1.1,1.2,23,9,27,0,4,1,2,4,4,1,11,3,1,1
RBT_140,30,Bachelor's,7.4,0.2,20,7,20,5,1,1,1,1,5,1,5,3,2,1
RBT_141,38,High School,9.3,5.7,21,9,20,9,4,4,2,3,4,3,9,7,1,1
RBT_142,36,High School,4.6,0.8,21,4,22,6,8,3,2,3,3,1,2,4,1,1
RBT_143,27,Bachelor's,1.6,4.5,23,11,27,3,7,1,1,1,2,3,4,6,4,1
RBT_144,22,High School,5.4,6.4,25,10,30,9,1,5,1,1,1,1,3,8,1,0
RBT_145,22,High School,3.8,1.6,22,7,20,4,9,5,1,5,1,4,7,3,2,0
RBT_146,20,High School,4.1,4.7,27,4,33,3,6,2,4,1,2,4,14,9,3,0
RBT_147,46,High School,6.4,0.7,15,8,20,2,2,3,1,2,3,5,2,9,4,1
RBT_148,24,Bachelor's,7.3,4.3,18,10,25,0,3,3,1,5,4,4,3,3,3,0
RBT_149,29,Bachelor's,1.6,1.3,21,9,25,5,7,4,1,4,1,2,9,6,5,0
RBT_150,26,Bachelor's,0.8,5.2,25,10,22,9,3,2,5,5,3,4,8,5,3,1
RBT_151,45,High School,9.9,2.2,22,6,29,4,3,4,5,5,2,3,2,4,5,0
RBT_152,28,High School,2.7,3.4,21,5,31,0,5,2,4,3,5,5,6,8,5,0
RBT_153,47,High School,1.0,4.3,26,9,29,4,3,3,4,1,3,2,14,9,4,1
RBT_154,26,High School,2.3,1.4,17,4,21,5,3,4,2,2,3,2,3,9,3,1
RBT_155,28,High School,0.9,5.2,29,7,32,9,5,2,5,1,5,1,12,5,1,1
RBT_156,27,Bachelor's,4.2,2.3,18,9,35,4,5,3,4,3,3,3,13,5,4,1
RBT_157,31,High School,8.1,4.7,26,3,32,0,9,3,4,1,1,4,6,3,4,0
RBT_158,21,Bachelor's,3.7,1.3,21,6,23,4,1,1,2,2,1,4,14,9,1,0
RBT_159,20,High School,4.7,4.9,22,4,23,9,1,4,1,1,1,1,5,1,3,0
RBT_160,35,High School,6.9,1.1,21,8,30,0,9,1,3,3,3,4,10,3,4,1
RBT_161,42,High School,5.3,3.1,20,3,33,2,5,3,2,2,3,2,4,7,5,0
RBT_162,42,Master's,8.7,1.9,23,9,22,1,4,4,3,1,3,4,12,7,1,0
RBT_163,49,Bachelor's,8.7,5.3,23,5,38,0,2,4,2,3,2,4,7,5,2,0
RBT_164,43,Master's,0.6,2.0,25,3,20,3,9,5,2,3,5,2,11,6,4,0
RBT_165,24,High School,7.9,6.2,27,10,24,1,6,2,1,5,3,3,10,4,5,0
RBT_166,22,High School,4.9,6.3,21,9,36,4,9,5,4,2,5,3,7,8,3,1
RBT_167,31,Bachelor's,9.9,1.5,22,4,20,9,5,5,5,2,4,2,4,4,3,0
RBT_168,27,High School,5.1,4.4,20,9,38,0,4,3,2,1,1,2,3,6,1,0
RBT_169,41,Bachelor's,9.9,0.8,15,5,38,9,7,2,1,5,2,5,4,5,5,0
RBT_170,46,High School,7.7,2.9,15,11,23,0,5,5,3,2,5,5,2,6,1,0
RBT_171,22,High School,2.9,5.1,20,10,38,9,8,5,4,3,1,4,4,3,4,0
RBT_172,20,High School,5.6,4.7,16,7,25,3,8,4,2,2,2,4,4,3,1,0
RBT_173,22,High School,9.9,4.4,28,9,34,6,2,3,3,5,1,5,12,7,2,1
RBT_174,24,Bachelor's,8.6,2.1,22,5,23,1,5,5,2,4,3,4,5,1,1,1
RBT_175,34,High School,1.4,2.8,15,3,20,1,8,2,5,3,3,3,1,1,1,1
RBT_176,33,High School,7.2,0.9,27,3,36,0,3,1,5,2,1,3,2,1,4,0
RBT_177,22,High School,3.8,5.1,16,4,30,4,7,1,4,3,2,1,8,6,5,1
RBT_178,20,High School,0.6,3.6,22,10,36,5,3,3,3,1,1,5,8,4,2,1
RBT_179,24,Bachelor's,4.3,5.0,26,3,20,5,6,1,5,3,4,3,8,6,1,1
RBT_180,45,Bachelor's,2.7,1.9,20,7,28,1,2,4,1,2,2,1,5,1,4,0
RBT_181,42,Master's,8.3,2.4,26,11,33,6,6,4,4,1,2,2,8,4,4,0
RBT_182,33,Bachelor's,3.7,2.5,24,11,34,5,6,2,2,1,1,3,9,4,4,0
RBT_183,26,High School,8.4,0.4,16,4,20,7,8,3,3,1,5,1,14,2,5,1
RBT_184,46,Bachelor's,0.5,2.5,16,9,21,5,5,3,3,4,1,4,4,1,1,0
RBT_185,28,High School,3.4,5.7,25,3,37,8,1,1,1,4,5,1,4,8,3,0
RBT_186,34,High School,2.8,6.3,28,5,37,9,8,5,5,1,2,3,7,6,2,0
RBT_187,34,Bachelor's,2.7,3.7,21,8,25,1,9,5,3,2,3,4,5,4,3,1
RBT_188,45,High School,1.1,3.3,19,11,39,6,1,5,1,1,3,4,11,2,5,1
RBT_189,29,Master's,2.3,0.4,19,4,27,4,5,2,1,1,1,1,10,5,1,1
RBT_190,47,High School,5.8,6.2,22,9,20,0,6,3,2,3,5,1,1,9,3,1
RBT_191,32,Bachelor's,3.3,0.3,26,6,34,2,4,1,1,3,1,3,8,7,3,0
RBT_192,38,Bachelor's,4.5,6.6,26,4,29,3,2,2,4,3,4,4,4,4,3,0
RBT_193,26,Bachelor's,4.1,3.5,21,5,23,1,5,4,3,5,1,5,8,5,2,1
RBT_194,36,Bachelor's,8.8,2.5,26,8,29,6,4,4,4,3,1,1,2,8,1,1
RBT_195,39,Bachelor's,9.1,6.5,28,11,30,0,7,4,1,3,1,5,12,5,4,0
RBT_196,48,High School,5.2,0.4,23,10,24,2,6,3,1,2,1,5,12,6,1,0
RBT_197,23,Bachelor's,3.6,4.2,18,11,28,8,3,4,4,4,5,4,4,6,3,0
RBT_198,49,High School,1.5,3.9,24,6,24,1,9,5,2,4,5,3,2,8,1,0
RBT_199,24,Bachelor's,9.6,1.7,18,6,30,4,4,4,1,4,5,5,5,5,4,0
RBT_200,42,Bachelor's,1.1,3.1,16,11,22,3,5,2,4,5,4,3,10,1,2,0
RBT_201,26,Bachelor's,3.3,4.6,17,10,23,2,3,4,4,1,4,1,10,4,1,1
RBT_202,32,High School,3.3,5.1,15,4,29,4,8,5,3,3,1,4,14,3,1,0
RBT_203,34,High School,3.5,0.2,15,10,26,5,7,4,2,2,5,2,8,2,2,0
RBT_204,30,Bachelor's,2.1,6.6,21,3,20,0,7,1,5,5,4,4,11,7,2,0
RBT_205,48,High School,7.9,1.3,28,11,25,1,8,5,4,4,3,2,7,7,3,1
RBT_206,23,High School,1.7,1.8,28,11,27,0,7,3,3,5,1,1,11,8,3,0
RBT_207,32,High School,6.5,2.0,19,10,36,2,3,4,5,2,2,3,5,5,2,0
RBT_208,26,Master's,1.7,0.5,17,7,26,7,3,2,3,5,5,1,11,1,4,0
RBT_209,46,Bachelor's,1.2,1.0,21,7,20,7,2,4,3,4,1,4,7,6,3,0
RBT_210,38,High School,9.1,6.9,28,5,28,3,1,2,2,1,1,2,5,6,4,0
RBT_211,41,High School,2.3,2.3,16,7,30,5,5,1,1,4,2,2,7,8,2,0
RBT_212,47,High School,8.3,1.0,17,6,38,8,4,3,2,4,3,4,4,2,1,0
RBT_213,21,Bachelor's,5.7,0.9,15,3,21,6,2,5,5,4,4,4,4,9,2,0
RBT_214,29,Bachelor's,1.2,5.1,22,11,30,1,1,5,2,5,4,1,10,6,2,0
RBT_215,32,High School,9.6,6.0,16,6,22,1,3,3,1,2,2,5,4,1,5,1
RBT_216,49,High School,2.8,1.9,29,5,36,2,6,1,2,4,2,2,11,9,2,1
RBT_217,44,High School,8.7,0.3,21,8,29,7,2,1,2,5,4,4,8,8,3,0
RBT_218,40,Bachelor's,2.1,1.7,25,3,22,9,7,4,2,2,3,1,1,1,1,0
RBT_219,25,Bachelor's,8.6,0.6,23,7,22,8,7,1,4,1,3,5,10,8,4,0
RBT_220,47,High School,0.6,0.9,20,9,26,2,3,4,4,4,1,3,5,7,5,0
RBT_221,47,High School,5.4,3.1,16,4,21,8,1,2,2,3,2,4,12,5,3,1
RBT_222,31,High School,7.8,1.8,16,11,20,9,9,3,1,5,2,5,10,6,1,0
RBT_223,31,Master's,9.4,3.7,23,8,26,7,5,2,1,1,2,3,2,4,4,1
RBT_224,39,High School,9.1,1.9,24,4,39,4,2,2,1,1,4,3,10,9,1,1
RBT_225,49,Bachelor's,8.3,6.6,22,10,30,9,8,2,1,1,4,1,4,9,3,0
RBT_226,49,Bachelor's,8.9,6.4,28,10,25,2,4,2,3,5,4,2,5,1,1,0
RBT_227,30,High School,2.4,4.1,28,3,23,6,7,5,2,2,3,4,8,9,2,0
RBT_228,45,High School,3.2,2.6,28,3,38,8,5,1,2,3,4,5,2,3,1,0
RBT_229,42,High School,3.2,2.8,23,3,38,5,3,3,3,2,1,3,2,2,2,1
RBT_230,47,Bachelor's,4.1,3.0,18,6,33,2,8,3,1,4,4,2,2,4,3,0
RBT_231,44,Bachelor's,4.2,5.1,18,6,22,4,2,2,5,3,3,3,14,4,5,0
RBT_232,26,Bachelor's,5.7,3.3,29,10,23,6,1,3,5,2,2,4,8,9,2,1
RBT_233,49,Bachelor's,2.0,6.0,29,3,27,7,5,4,3,4,1,4,12,4,1,1
RBT_234,20,High School,7.1,6.6,16,5,37,3,4,3,5,3,3,1,14,5,1,0
RBT_235,20,Master's,2.1,2.5,28,3,23,1,7,2,4,5,5,4,3,6,1,1
RBT_236,44,Bachelor's,3.4,4.0,24,11,30,9,9,3,2,4,2,4,5,4,3,0
RBT_237,46,High School,5.3,0.8,15,11,35,1,6,1,5,2,4,4,2,1,4,1
RBT_238,49,Master's,8.1,1.6,24,9,22,2,1,2,4,3,3,2,6,2,1,0
RBT_239,44,Bachelor's,7.5,3.0,27,10,26,7,8,5,2,4,5,5,10,3,1,1
RBT_240,39,Bachelor's,6.6,1.6,18,3,21,0,2,1,4,4,3,5,6,4,2,0
RBT_241,32,Bachelor's,2.0,6.2,24,7,20,6,4,3,2,5,4,4,2,5,5,0
RBT_242,28,Bachelor's,5.7,1.3,24,4,20,5,3,5,2,4,3,5,4,3,1,0
RBT_243,22,Bachelor's,1.3,3.3,25,3,25,1,6,1,5,3,5,4,11,1,3,0
RBT_244,26,High School,4.1,4.3,22,5,38,8,2,4,3,1,3,5,2,8,4,0
RBT_245,25,High School,4.4,4.9,16,9,26,4,5,1,5,3,1,5,14,8,4,1
RBT_246,27,Master's,0.9,2.8,27,3,24,1,9,5,1,3,1,3,10,4,4,1
RBT_247,46,High School,3.1,6.1,26,4,37,2,3,4,4,5,4,2,4,7,3,1
RBT_248,28,High School,9.6,4.1,25,4,32,6,2,3,1,5,5,3,13,4,4,1
RBT_249,49,High School,9.6,3.2,22,6,20,6,2,2,2,4,5,3,13,3,4,1
RBT_250,24,High School,3.8,0.7,15,5,29,9,9,3,5,5,5,5,11,7,2,1
RBT_251,20,Bachelor's,0.9,3.4,29,5,28,0,6,2,1,4,5,1,7,6,4,0
RBT_252,38,Master's,2.2,5.8,15,7,36,9,2,2,1,1,5,1,5,1,2,1
RBT_253,29,High School,4.2,4.4,18,5,20,3,3,5,1,2,2,2,10,9,2,0
RBT_254,31,High School,9.5,5.9,21,9,20,5,1,4,2,5,3,4,4,2,2,1
RBT_255,43,High School,1.8,3.6,23,7,26,7,2,4,2,5,5,5,10,3,3,0
RBT_256,34,Bachelor's,7.8,1.0,19,6,23,2,2,1,2,1,1,2,10,5,1,0
RBT_257,46,Bachelor's,1.5,0.3,16,5,31,2,2,3,1,5,3,3,3,3,5,0
RBT_258,41,High School,9.8,2.3,26,6,35,7,7,5,4,1,4,5,13,3,4,0
RBT_259,43,Bachelor's,4.1,4.9,21,4,33,7,3,3,5,4,4,3,13,8,5,0
RBT_260,28,Bachelor's,7.9,5.6,25,3,29,7,4,1,5,5,5,2,13,4,1,1
RBT_261,39,Bachelor's,3.8,2.2,16,5,33,0,2,1,2,5,2,1,6,2,2,0
RBT_262,36,Master's,6.5,3.6,23,4,26,7,5,5,1,4,2,2,2,5,2,0
RBT_263,49,High School,2.3,3.1,23,3,23,7,9,1,4,5,3,5,4,2,2,0
RBT_264,36,Bachelor's,1.9,3.0,17,3,21,1,9,5,3,3,2,5,12,8,2,0
RBT_265,45,High School,9.4,1.8,27,4,37,8,7,1,2,1,4,4,8,3,4,0
RBT_266,39,Bachelor's,9.2,1.1,22,11,35,6,8,4,3,2,5,1,2,2,1,0
RBT_267,31,Bachelor's,8.9,1.5,25,7,28,7,5,5,5,3,1,5,9,3,1,0
RBT_268,49,Bachelor's,6.4,0.6,18,11,24,1,5,4,5,2,4,1,2,3,1,0
RBT_269,26,Bachelor's,8.2,1.5,17,10,28,3,3,4,4,3,4,5,8,1,5,0
RBT_270,21,High School,1.2,0.3,15,8,27,6,6,5,4,3,3,1,8,3,2,1
RBT_271,22,Bachelor's,3.7,4.5,19,3,39,5,1,3,3,3,2,2,7,3,3,0
RBT_272,36,Master's,3.5,2.4,27,7,35,6,3,2,5,1,1,1,14,4,1,0
RBT_273,24,Master's,6.5,6.8,28,3,39,0,2,1,4,2,1,3,13,8,5,0
RBT_274,36,High School,3.9,1.5,25,9,37,7,7,1,4,4,2,2,10,9,4,0
RBT_275,43,High School,1.9,2.6,18,10,23,6,9,3,5,4,5,5,6,1,2,0
RBT_276,36,High School,6.2,2.6,15,10,35,3,4,2,5,5,2,5,1,1,5,0
RBT_277,46,Bachelor's,8.2,0.3,24,9,23,0,7,3,1,1,5,4,2,6,3,1
RBT_278,36,Bachelor's,4.1,5.9,22,4,25,7,8,2,4,1,1,3,7,1,3,0
RBT_279,21,High School,1.8,0.4,22,7,22,9,2,5,3,1,3,4,13,5,4,0
RBT_280,21,Bachelor's,2.4,6.6,27,6,37,6,7,5,2,3,4,2,11,1,1,0
RBT_281,47,Bachelor's,2.8,6.3,22,7,34,7,3,4,2,1,1,4,4,8,1,0
